date,action,ticker,shares,price,trade_value,reason,realized_pnl,holding_days,entry_price,highest_price,lowest_price
2026-05-29,SELL,ORCL,284,225.5542,64057.39,take_profit,14290.62,30.0,175.2351,225.78,161.39
2026-05-29,SELL,CRWD,99,730.269,72296.63,take_profit,14824.16,10.7,580.53,731.0,579.95
2026-06-01,BUY,ORCL,287,248.3981,71290.25,momentum_score=0.8,,0.0,,,
2026-06-01,BUY,CRWD,88,782.9522,68899.79,momentum_score=0.7333,,0.0,,,
2026-06-01,SELL,MSFT,122,460.0595,56127.26,take_profit,8223.63,34.3,392.6527,460.52,392.2604
2026-06-02,BUY,MSFT,141,441.7513,62286.93,momentum_score=0.4,,0.0,,,
2026-06-05,SELL,ORCL,287,213.4663,61264.83,stop_loss,-10025.43,2.9,248.3981,248.3981,213.68
2026-06-05,SELL,CRWD,88,670.349,58990.71,stop_loss,-9909.08,2.9,782.9522,782.9522,671.02
2026-06-09,SELL,MSFT,141,403.0066,56823.93,stop_loss,-5463.0,5.0,441.7513,441.7513,403.41
2026-06-12,BUY,CRWD,83,683.4828,56729.07,momentum_score=0.8667,,0.0,,,
