date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return
2024-01-29,14119.84,99192.41,113312.25,6504.58,6807.66,0.012135,0.133123,0.039395,0.063489,0.13998
2024-01-30,14119.84,99295.42,113415.26,6504.58,6910.67,0.000909,0.134153,0.038591,0.05641,0.1412
2024-01-31,14119.84,96716.79,110836.63,6504.58,4332.04,-0.022736,0.108366,0.021644,0.035719,0.111445
2024-02-01,14119.84,99084.52,113204.36,6504.58,6699.78,0.021362,0.132044,0.035016,0.047915,0.138609
2024-02-02,14119.84,100224.3,114344.14,6504.58,7839.55,0.010068,0.143441,0.045911,0.065625,0.151803
2024-02-05,14119.84,99829.73,113949.57,6504.58,7444.98,-0.003451,0.139496,0.042103,0.064234,0.147268
2024-02-06,14119.84,99459.76,113579.6,6504.58,7075.01,-0.003247,0.135796,0.045129,0.062098,0.143106
2024-02-07,14119.84,102456.78,116576.62,6504.58,10072.04,0.026387,0.165766,0.053845,0.073027,0.178291
2024-02-08,14119.84,102875.04,116994.88,6504.58,10490.29,0.003588,0.169949,0.054311,0.075014,0.18355
2024-02-09,14119.84,104080.8,118200.64,6504.58,11696.06,0.010306,0.182006,0.060404,0.085596,0.197715
2024-02-12,14119.84,102530.64,116650.48,6504.58,10145.89,-0.013115,0.166505,0.059939,0.081348,0.179519
2024-02-13,14119.84,101315.15,115434.99,6504.58,8930.4,-0.01042,0.15435,0.04534,0.064483,0.166091
2024-02-14,14119.84,103142.81,117262.65,6504.58,10758.06,0.015833,0.172627,0.05484,0.076083,0.187836
2024-02-15,14119.84,102127.28,116247.12,6504.58,9742.53,-0.00866,0.162471,0.062118,0.079287,0.176158
2024-02-16,14119.84,101263.61,115383.45,6504.58,8878.86,-0.00743,0.153834,0.056829,0.0695,0.166291
2024-02-20,14119.84,99721.21,113841.05,6504.58,7336.46,-0.013368,0.13841,0.05101,0.061427,0.148484
2024-02-21,14119.84,96108.4,110228.24,6504.58,3723.66,-0.031736,0.102282,0.051962,0.05718,0.104676
2024-02-22,14119.84,99753.96,113873.8,6504.58,7369.21,0.033073,0.138738,0.073733,0.08813,0.147413
2024-02-23,14119.84,99984.32,114104.16,6504.58,7599.57,0.002023,0.141042,0.074474,0.084925,0.150039
2024-02-26,14119.84,100534.5,114654.34,6504.58,8149.75,0.004822,0.146543,0.070539,0.084354,0.157246
2024-02-27,14119.84,100668.1,114787.94,6504.58,8283.35,0.001165,0.147879,0.072527,0.086962,0.158754
2024-02-28,14119.84,100744.14,114863.98,6504.58,8359.39,0.000662,0.14864,0.07111,0.081175,0.15957
