,book_fwd_1d,book_fwd_5d,book_fwd_20d,psq_fwd_1d,psq_fwd_5d,soxs_fwd_1d,soxs_fwd_5d,smh_fwd_1d,smh_fwd_5d,top10_fwd_1d,top10_fwd_5d,top10_fwd_20d,bottom10_fwd_1d,bottom10_fwd_5d,bottom10_fwd_20d,universe_fwd_1d,universe_fwd_5d,universe_fwd_20d,spread_fwd_1d,spread_fwd_5d,spread_fwd_20d,psq_fwd_20d,soxs_fwd_20d,smh_fwd_20d
score_top10_trl_5d,0.01066823731114618,0.021142493862560428,0.04102080411125209,-0.008913097989655729,-0.016917239731156258,-0.004021797050457994,-0.0020803292009304005,0.009401316664385926,0.023403903426798968,0.011421462227473863,0.03524216592143458,0.09299059459763008,-0.0014766275611399467,-0.017514549428199456,-0.016131543375487972,0.0067244255985144915,0.00957945759157283,0.04388757265598714,0.013803839806267983,0.05907149382001085,0.12604242794217632,-0.0442170163836598,-0.04164468100192721,0.06916538811487159
score_top10_trl_20d,0.01718601012502765,0.030132768720733248,-0.014452612927016417,-0.015415126233451787,-0.031009547152903803,-0.01656690428123824,-0.033087636634510455,0.022594648845981512,0.05256818410919519,0.03436674806584646,0.07055257452129524,0.012486408985728342,-0.0040951662147361905,-0.012212565707051209,-0.06352543818689993,0.014616259042146692,0.02943603389105158,-0.03312211954932762,0.04109293818782372,0.090579454796131,0.08915602157265558,0.023544431531655596,0.03929198177691388,0.011828492228675576
score_bottom10_trl_1d,-0.003075743115387254,0.0126899287530755,0.021958516580034778,-0.006522728693799238,-0.015143343397126552,-0.011934279428918948,-0.012664926613179727,0.00931665531035321,0.009693742211040133,-0.0028484111041098773,0.006792618699942,0.009446094906611637,-0.00045332530359849837,-0.0035436957477826747,-0.014681170360041471,-0.002760497480146446,0.00198985500112366,-0.010880414775503505,-0.0024706110921609795,0.011596822010563699,0.028176712364279478,-0.0026070289774319743,-0.0062423738801865025,-0.0004566924670245005
score_bottom10_trl_5d,0.007319129081723183,0.00956927578145593,0.0426777366690779,-0.009521408758681247,-0.016309863770151006,-0.01021339406641818,-0.013559401984579384,0.005183409506670816,0.004123228917555245,0.003299922505672942,0.00588670946455347,0.03146375542871953,-0.0018947768403603125,-0.021988940196328445,-0.015005381894481763,0.0011816638705453735,-0.011522046371375994,-0.008084051485774787,0.005732966290980374,0.032941147894474276,0.05390336437958368,-0.00671251260393682,-0.019013191685855132,0.0061779898515003095
score_bottom10_trl_20d,0.011124457513371978,0.03452926446498853,0.0658462504983401,-0.0023262434667749485,-0.006822812174028709,-0.007782397085244536,-0.024371087644871947,-0.0006721170121192481,0.003648878406858268,0.004145085854920139,0.02295464037909662,0.07440807039031812,-0.00546112966533044,-0.010697196391715116,0.02425643806342025,-0.004170389448426236,-0.005958650932282507,0.029316232508816122,0.010850804031248188,0.037601801489995236,0.05711023439295012,-0.02232963312489593,-0.07745680899647012,0.03213199655707695
score_universe_trl_1d,0.00831651370517022,0.022137346869238836,0.0388719941702833,-0.012161016488329698,-0.030372542333670444,-0.0010016561886891772,0.00022801918374234267,-0.005820217044172193,-0.01361271090946889,0.007317406704351965,0.017814224726746326,0.036890845652077134,0.005075025536827443,0.011319559275375965,0.02833404369273861,0.009826339198790812,0.024205254850609002,0.05115467882966239,0.0016978729602485762,0.005449239941297464,0.009039942842742718,-0.06020902723929654,-0.0012338269216838596,-0.026282407765607627
score_universe_trl_5d,0.010002792558571123,0.023690382469714014,0.037341079757476206,-0.014350295789492698,-0.03403495403202986,-0.0027113402082572426,-0.003465294421704432,-0.0041009400329050935,-0.009718753961524667,0.009003464082324514,0.021799392244475427,0.03718435771172397,0.006144864478471401,0.014043825537710629,0.02636715566454268,0.012235766246595926,0.02875299131629453,0.05043904877233579,0.0021957207801170634,0.0064276865617055035,0.011708007829595302,-0.057904399976171424,0.00040786030818657073,-0.02860630618473121
score_universe_trl_20d,0.006694622918105826,0.016797104853978097,0.025581956521810896,-0.009700821975486797,-0.023220818066448174,0.0006145122060281282,0.005283059014734291,-0.008742220012252359,-0.021001127990214103,0.006754326693142256,0.01684609860820554,0.03252122688163824,0.0032150653385061385,0.0060364070961503105,0.014744568274075063,0.008492975416585117,0.020519580447187602,0.04115500384404519,0.0033059359955024733,0.010801462593653817,0.02008399731633839,-0.04515059799794736,0.013461468527242393,-0.04552711141910837
score_held_trl_1d,-0.00496173241601681,-0.00047279996950336315,-0.004943524453791533,0.0024475292331290113,-0.007059075640094091,-0.009275924411165426,-0.033165938475354206,0.010566446735560477,0.030574159789870086,0.0070156573718244885,0.034993721803655634,-0.013054842997100781,0.01293831508238252,0.031615968589629236,-0.06590465812151608,0.006791983015817369,0.02389029372010362,-0.0549658956239091,-0.007969639228101037,-0.0006564962423053315,0.06267818346300486,0.033538956628670485,0.0036193934611843145,0.00019128725851119097
score_held_trl_5d,0.003405017970743857,0.012589231663533314,-0.009712348796629966,-0.006714611880868565,-0.007923959704960964,-0.016030146476433953,-0.03233099523452837,0.019619572960768304,0.028043852771638393,0.022675893451371387,0.03255455068080717,-0.031344384279199444,0.019546299106141175,0.008007948229053666,-0.08656699695709842,0.01769143741568284,0.007518498499229579,-0.0717761398472016,0.000700544286929127,0.025290765479955454,0.06597424017312763,0.04071774099689813,0.007772444280412122,-0.007369216858199539
score_held_trl_20d,-0.004644241532465825,-0.011780732901687156,-0.0784392404768842,0.013294334440178936,0.030348257206945842,0.0025229143898431255,0.00040196915960810864,-0.002650966889568367,-0.011230855526885386,-0.006190403857127335,-0.026122404340933734,-0.12789001909911005,-0.02315099028951363,-0.056644432677414015,-0.11482860157783573,-0.019041225435934277,-0.04976227283188167,-0.15289302226261864,0.020945896823217385,0.04043106749645869,-0.01205607426823082,0.10450955055847296,0.08154825141921634,-0.09785550850603641
