date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return
2021-11-12,53899.98,51946.32,105846.3,4584.03,1262.35,0.005564,0.058463,0.105913,0.148286,0.260132
2021-11-15,57200.63,48202.67,105403.3,4292.96,1110.42,-0.004185,0.054033,0.106292,0.148024,0.252964
2021-11-16,58058.66,47765.93,105824.59,4703.44,1121.23,0.003997,0.058246,0.110671,0.156199,0.264685
2021-11-17,50789.21,54648.79,105438.0,4703.44,734.64,-0.003653,0.05438,0.107972,0.15681,0.263285
2021-11-18,46926.86,59298.3,106225.16,4703.44,1521.8,0.007466,0.062252,0.111736,0.168796,0.274945
2021-11-19,55739.33,51148.6,106887.93,5837.9,1050.11,0.006239,0.068879,0.109747,0.175313,0.284506
2021-11-22,51746.45,54841.7,106588.15,5805.14,783.09,-0.002805,0.065881,0.106623,0.161668,0.271712
2021-11-23,51636.66,54759.62,106396.28,6153.55,242.81,-0.0018,0.063963,0.108091,0.156374,0.264355
2021-11-24,47974.55,58900.13,106874.68,6153.55,721.2,0.004496,0.068747,0.111049,0.160097,0.274501
2021-11-26,50967.59,54481.2,105448.79,5859.36,-410.49,-0.013342,0.054488,0.086269,0.138103,0.245209
2021-11-29,54405.19,52326.15,106731.34,5610.54,1120.88,0.012163,0.067313,0.099594,0.162803,0.274788
2021-11-30,54405.19,51477.07,105882.26,5610.54,271.8,-0.007955,0.058823,0.078199,0.145726,0.252357
2021-12-01,57483.92,47431.83,104915.75,5282.97,-367.14,-0.009128,0.049157,0.066223,0.126233,0.224282
2021-12-02,57942.97,47036.11,104979.08,5142.47,-163.32,0.000604,0.049791,0.082554,0.13435,0.228191
2021-12-03,61251.37,42684.19,103935.56,4790.93,-855.3,-0.00994,0.039356,0.073134,0.114626,0.196556
2021-12-06,60892.46,42892.28,103784.74,4489.24,-704.42,-0.001451,0.037847,0.085843,0.123557,0.19615
2021-12-07,64955.54,40518.11,105473.65,4945.12,528.61,0.016273,0.054736,0.108304,0.157392,0.240935
2021-12-08,65496.53,40032.29,105528.82,5357.61,171.3,0.000523,0.055288,0.111239,0.16257,0.242045
2021-12-09,65003.69,39730.57,104734.26,5158.63,-424.29,-0.007529,0.047343,0.103736,0.145464,0.214767
2021-12-10,65003.69,40387.12,105390.81,5158.63,232.26,0.006269,0.053908,0.114126,0.157916,0.234057
2021-12-13,61044.36,43704.19,104748.55,4713.29,35.33,-0.006094,0.047486,0.104257,0.141187,0.210326
2021-12-14,61044.36,43083.22,104127.58,4713.29,-585.64,-0.005928,0.041276,0.096659,0.129375,0.202511
2021-12-15,61044.36,44497.85,105542.21,4713.29,828.99,0.013586,0.055422,0.113795,0.155123,0.241674
2021-12-16,57574.89,46770.88,104345.77,4713.29,-367.45,-0.011336,0.043458,0.103973,0.125419,0.206206
2021-12-17,50543.75,53531.8,104075.55,4713.29,-637.66,-0.00259,0.040755,0.092223,0.119804,0.196018
2021-12-20,57323.64,46131.92,103455.56,4213.58,-757.94,-0.005957,0.034556,0.080609,0.108942,0.182969
2021-12-21,65039.75,39732.02,104771.77,4472.44,299.42,0.012722,0.047718,0.0998,0.13376,0.215961
2021-12-22,61280.94,43825.06,105106.0,4472.44,633.64,0.00319,0.05106,0.110796,0.147568,0.231777
2021-12-23,57989.44,47623.3,105612.74,4948.99,663.84,0.004821,0.056127,0.117708,0.156219,0.248472
2021-12-27,58151.89,48404.55,106556.44,5334.66,1221.86,0.008935,0.065564,0.133526,0.175328,0.270933
2021-12-28,51071.93,55241.15,106313.08,5334.66,978.5,-0.002284,0.063131,0.132599,0.169881,0.260068
2021-12-29,51071.93,55085.61,106157.54,5334.66,822.96,-0.001463,0.061575,0.134048,0.169706,0.255173
