signal,hedge,on%,wf_dSharpe,wf_dMaxDD,wf_pos%,ep_hit%,ep_dMaxDD,vsRand_dMaxDD,giveup_full,ret_full,sharpe_full,maxdd_full
spread5_neg,short_SMH,51.7,-0.24827585573708713,0.035972355561611685,77.77777777777779,76.92307692307693,0.035783120225366484,0.04021482084510686,14.344885552150355,7.215141647849627,0.9879679091082308,0.36143259028391217
spread5_neg,long_SOXS,51.7,-0.7768880389960829,-0.04621583628578415,44.44444444444444,53.84615384615385,-0.004862537481873734,-0.004184835477930249,21.220285652501946,0.33974154749803787,0.25300130435363916,0.6719926867008943
spread_decl2,long_PSQ,15.7,-0.12118565751140335,0.0032883364388668467,44.44444444444444,46.15384615384615,0.0012181310083416803,-0.012662110418185546,7.2109590805136285,14.349068119486354,1.1393757690581034,0.418002910011648
spread_decl2,short_QQQ,15.7,-0.13188347196164202,0.0025879100434898186,44.44444444444444,46.15384615384615,0.000731699373320994,-0.02222900443651421,7.637940664816336,13.922086535183647,1.1290190344567805,0.4197665059255429
spread_decl2,short_SMH,15.7,-0.13077400434824402,0.007601249579031583,55.55555555555556,46.15384615384615,0.005045312900232477,-0.0012189544339533676,8.361926880471525,13.198100319528457,1.121353553225908,0.409191142915161
spread_decl2,long_SOXS,15.7,-0.40330886927777043,-0.01411534026389447,44.44444444444444,38.46153846153847,-0.01168214102913739,0.03187635546663703,16.147095444412265,5.412931755587715,0.7903195513669721,0.4538816258849484
qqq<50dma,long_PSQ,26.6,-0.05136368181768117,0.03321130913224858,66.66666666666666,61.53846153846154,0.021159701362136716,0.05392122222149914,5.056071633505759,16.503955566494223,1.2726381438270291,0.3419653536180548
qqq<50dma,short_QQQ,26.6,-0.06681878650010004,0.03189956770428347,55.55555555555556,53.84615384615385,0.020102268113116276,0.06830522442595055,5.724087607262366,15.835939592737617,1.2576731259084846,0.34548693692115207
qqq<50dma,short_SMH,26.6,-0.15655093964998007,0.025885446602450894,66.66666666666666,53.84615384615385,0.017672367319694016,0.046590757891710965,9.897320292008867,11.662706907991115,1.1604414797968194,0.3654897424316903
qqq<50dma,long_SOXS,26.6,-0.6605586858359198,-0.027253524059764507,44.44444444444444,30.76923076923077,-0.01593578895642724,0.05129922559722011,19.630335967546976,1.9296912324530067,0.4967473623604918,0.5183760103185858
qqq<200dma,long_PSQ,16.1,-0.06264830153531495,0.019035705198298128,55.55555555555556,30.76923076923077,0.011955381866899314,0.05907116027613296,2.5706700673010303,18.989357132698952,1.2785234857247576,0.349746730225843
qqq<200dma,short_QQQ,16.1,-0.07486614057181135,0.018413690840468993,44.44444444444444,23.076923076923077,0.01146006919120539,0.058810569236438404,3.0787215493736966,18.481305650626286,1.2691728592115255,0.3521397026825186
qqq<200dma,short_SMH,16.1,-0.16495514538053058,0.01745933622861658,44.44444444444444,23.076923076923077,0.010798214280192547,0.05373224667065368,6.698008111847022,14.86201908815296,1.1957087840399558,0.36125277564226277
qqq<200dma,long_SOXS,16.1,-0.4508928456215653,-0.026611366163329413,11.11111111111111,7.6923076923076925,-0.023428477556387987,0.021356465216695097,16.823941117070987,4.7360860829289955,0.704839304846265,0.4910844652788887
dd60>5%,long_PSQ,26.8,-0.08738907034114521,0.02661791656327596,66.66666666666666,76.92307692307693,0.01973268188668191,0.0487961403194902,6.604651183119936,14.955376016880047,1.243292937447804,0.3486639618716887
