date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return,forecast_vol,exposure_mult
2025-04-16,2062191.85,7412235.12,9474426.97,9189691.82,184735.17,-0.018745,93.74427,4.688044,4.53052,50.11751,0.40908,0.8556
2025-04-17,2062191.85,7442084.42,9504276.27,9189691.82,214584.47,0.003151,94.042763,4.69616,4.529525,49.340541,0.408804,0.8562
2025-04-21,2062191.85,7235484.65,9297676.5,9189691.82,7984.7,-0.021738,91.976765,4.560576,4.392687,47.462498,0.409781,0.8541
2025-04-22,2062191.85,7444826.93,9507018.78,9189691.82,217326.98,0.022516,94.070188,4.705249,4.534256,48.575827,0.410777,0.852
2025-04-23,2062191.85,7635687.2,9697879.05,9189691.82,408187.26,0.020076,95.97879,4.793655,4.659763,50.261354,0.410847,0.8519
2025-04-24,2062191.85,7801481.74,9863673.59,9189691.82,573981.79,0.017096,97.636736,4.915605,4.819012,51.971021,0.411405,0.8507
2025-04-25,2062191.85,7954392.56,10016584.41,9189691.82,726892.62,0.015502,99.165844,4.958347,4.883882,53.620889,0.411987,0.8495
2025-04-28,2062191.85,7965861.15,10028053.0,9189691.82,738361.21,0.001145,99.28053,4.960619,4.882014,52.881563,0.411708,0.8501
2025-04-29,2062191.85,8020581.56,10082773.41,9189691.82,793081.61,0.005457,99.827734,4.998168,4.920862,53.067543,0.411136,0.8513
2025-04-30,2062191.85,8122391.29,10184583.14,9189691.82,894891.35,0.010097,100.845831,5.000548,4.920115,53.117795,0.411375,0.8508
2025-05-01,2062191.85,8140665.57,10202857.42,9189691.82,913165.62,0.001794,101.028574,5.043073,4.997435,53.994825,0.410834,0.8519
2025-05-02,2062191.85,8377975.54,10440167.39,9189691.82,1150475.59,0.023259,103.401674,5.132778,5.086461,54.921791,0.41212,0.8493
2025-05-05,2062191.85,8378103.06,10440294.91,9189691.82,1150603.11,1.2e-05,103.402949,5.097611,5.050353,54.42102,0.412072,0.8494
2025-05-06,2062191.85,8192045.86,10254237.71,9189691.82,964545.91,-0.017821,101.542377,5.046644,4.994074,54.183041,0.408584,0.8566
2025-05-07,2062191.85,8287186.68,10349378.53,9189691.82,1059686.73,0.009278,102.493785,5.072074,5.017606,55.397456,0.408729,0.8563
2025-05-08,2062191.85,8541432.47,10603624.32,9189691.82,1313932.52,0.024566,105.036243,5.114383,5.079738,55.631275,0.410114,0.8534
2025-05-09,2062191.85,8500663.73,10562855.58,9189691.82,1273163.78,-0.003845,104.628556,5.106592,5.075753,55.472118,0.409355,0.855
2025-05-12,2062191.85,8625495.34,10687687.19,9189691.82,1397995.39,0.011818,105.876872,5.308399,5.323281,58.538318,0.405268,0.8636
2025-05-13,2062191.85,8789345.56,10851537.41,9189691.82,1561845.62,0.015331,107.515374,5.350059,5.419653,61.055605,0.394966,0.8862
2025-05-14,2062191.85,8850933.87,10913125.72,9189691.82,1623433.92,0.005676,108.131257,5.358174,5.458126,62.794158,0.385851,0.9071
2025-05-15,1280669.88,9646988.26,10927658.14,9189691.82,1637966.34,0.001332,108.276581,5.389231,5.465223,62.611683,0.382029,0.9162
2025-05-16,1280669.88,9786593.14,11067263.02,9189691.82,1777571.22,0.012775,109.67263,5.429699,5.493363,62.844484,0.382377,0.9153
2025-05-19,1280669.88,9802723.39,11083393.27,9189691.82,1793701.47,0.001457,109.833933,5.436733,5.499588,62.807135,0.382026,0.9162
2025-05-20,1280669.88,9751854.04,11032523.92,9189691.82,1742832.12,-0.00459,109.325239,5.415092,5.477924,62.329623,0.38175,0.9168
2025-05-21,1280669.88,9539661.14,10820331.02,9189691.82,1530639.22,-0.019233,107.20331,5.306992,5.387901,61.124464,0.382217,0.9157
2025-05-22,1280669.88,9608282.38,10888952.26,9189691.82,1599260.46,0.006342,107.889523,5.309482,5.399855,61.422632,0.382151,0.9159
2025-05-23,1280669.88,9653656.56,10934326.44,9189691.82,1644634.64,0.004167,108.343264,5.266413,5.340587,60.645004,0.380261,0.9204
2025-05-27,1280669.88,9800785.45,11081455.33,9189691.82,1791763.53,0.013456,109.814553,5.396696,5.489752,62.507267,0.380793,0.9191
2025-05-28,1280669.88,9761966.26,11042636.14,9189691.82,1752944.34,-0.003503,109.426361,5.35969,5.460989,62.129914,0.380794,0.9191
2025-05-29,1280669.88,9643467.53,10924137.41,9189691.82,1634445.61,-0.010731,108.241374,5.384793,5.47369,63.564322,0.378553,0.9246
2025-05-30,1280669.88,9889805.95,11170475.83,9189691.82,1880784.03,0.02255,110.704758,5.377652,5.463479,62.229184,0.379975,0.9211
2025-06-02,1280669.88,10033864.06,11314533.94,9189691.82,2024842.14,0.012896,112.145339,5.413577,5.51453,63.110518,0.38046,0.9199
2025-06-03,1280669.88,10094111.04,11374780.92,9189691.82,2085089.12,0.005325,112.747809,5.450151,5.565454,64.540351,0.380425,0.92
2025-06-04,1280669.88,10124751.59,11405421.47,9189691.82,2115729.67,0.002694,113.054215,5.44842,5.583757,64.818062,0.38022,0.9205
2025-06-05,1280669.88,10037092.89,11317762.77,9189691.82,2028070.97,-0.007686,112.177628,5.417255,5.534201,64.102414,0.380341,0.9202
2025-06-06,1280669.88,10170357.59,11451027.47,9189691.82,2161335.67,0.011775,113.510275,5.483155,5.598076,64.92907,0.377859,0.9263
2025-06-09,1280669.88,10188950.89,11469620.77,9189691.82,2179928.97,0.001624,113.696208,5.488998,5.607788,65.288301,0.37643,0.9298
2025-06-10,1280669.88,10174689.12,11455359.0,9189691.82,2165667.2,-0.001243,113.55359,5.525789,5.651491,65.932849,0.376294,0.9301
2025-06-11,1280669.88,10309375.73,11590045.61,9189691.82,2300353.81,0.011758,114.900456,5.507176,5.629078,65.403312,0.374202,0.9353
2025-06-12,1280669.88,10229046.5,11509716.38,9189691.82,2220024.58,-0.006931,114.097164,5.533039,5.644643,66.170864,0.368536,0.9497
2025-06-13,1280669.88,10194982.66,11475652.54,9189691.82,2185960.74,-0.00296,113.756525,5.459998,5.561221,64.888404,0.366178,0.9558
2025-06-16,1280669.88,10393343.67,11674013.55,9189691.82,2384321.75,0.017285,115.740136,5.521459,5.652487,66.053698,0.365619,0.9573
2025-06-17,1280669.88,10308773.02,11589442.9,9189691.82,2299751.1,-0.007244,114.894429,5.465733,5.587617,65.65118,0.365383,0.9579
2025-06-18,1280669.88,10427319.61,11707989.49,9189691.82,2418297.69,0.010229,116.079895,5.464759,5.586497,66.072918,0.365275,0.9582
2025-06-20,1280669.88,10428377.53,11709047.41,9189691.82,2419355.61,9e-05,116.090474,5.449576,5.559602,65.601876,0.364595,0.96
2025-06-23,1280669.88,10617104.27,11897774.15,9189691.82,2608082.35,0.016118,117.977742,5.513282,5.627051,65.820965,0.364344,0.9606
2025-06-24,1280669.88,10923138.97,12203808.85,9189691.82,2914117.05,0.025722,121.038088,5.585236,5.728392,67.257403,0.359248,0.9743
2025-06-25,1280669.88,10908491.76,12189161.64,9189691.82,2899469.84,-0.0012,120.891616,5.588926,5.745594,69.451916,0.358726,0.9757
2025-06-26,1280669.88,11087817.61,12368487.49,9189691.82,3078795.69,0.014712,122.684875,5.640476,5.808666,69.768936,0.355099,0.9856
2025-06-27,1280669.88,10904055.04,12184724.92,9189691.82,2895033.12,-0.014857,120.847249,5.673469,5.831977,70.71839,0.355696,0.984
2025-06-30,1280669.88,11018758.3,12299428.18,9189691.82,3009736.38,0.009414,121.994282,5.705376,5.876228,70.971793,0.3555,0.9845
2025-07-01,1280669.88,10714914.27,11995584.15,9189691.82,2705892.35,-0.024704,118.955842,5.703205,5.818264,69.515401,0.357152,0.98
2025-07-02,1280669.88,10755187.45,12035857.33,9189691.82,2746165.53,0.003357,119.358573,5.733593,5.865756,71.077983,0.356154,0.9827
2025-07-03,1280669.88,10890385.4,12171055.28,9189691.82,2881363.48,0.011233,120.710553,5.786663,5.933317,71.929754,0.355662,0.9841
2025-07-07,1280669.88,10943484.31,12224154.19,9189691.82,2934462.39,0.004363,121.241542,5.736089,5.881089,71.332711,0.354601,0.987
2025-07-08,1280669.88,10904184.8,12184854.68,9189691.82,2895162.88,-0.003215,120.848547,5.732399,5.884953,71.970782,0.35328,0.9907
2025-07-09,1280669.88,11036216.54,12316886.42,9189691.82,3027194.62,0.010836,122.168864,5.772771,5.933691,72.990422,0.349376,1.0
2025-07-10,291552.8,11791401.82,12082954.62,9189691.82,2793262.82,-0.018993,119.829546,5.791872,5.923719,73.454196,0.348138,1.0
2025-07-11,291552.8,11694209.64,11985762.44,9189691.82,2696070.64,-0.008044,118.857624,5.767996,5.908138,73.672006,0.343205,1.0
2025-07-14,291552.8,11828592.28,12120145.08,9189691.82,2830453.28,0.011212,120.201451,5.78091,5.933193,73.288842,0.342971,1.0
2025-07-15,1197533.92,10883385.63,12080919.55,9301539.65,2679379.92,-0.003236,119.809196,5.751934,5.93955,75.522005,0.342823,1.0
2025-07-16,1197533.92,10855229.85,12052763.77,9301539.65,2651224.15,-0.002331,119.527638,5.774507,5.946654,75.711889,0.34207,1.0
2025-07-17,1197533.92,11035705.34,12233239.26,9301539.65,2831699.63,0.014974,121.332393,5.815965,6.002873,76.3117,0.342729,1.0
2025-07-18,1197533.92,11047212.49,12244746.41,9301539.65,2843206.78,0.000941,121.447464,5.810972,5.996141,76.125024,0.340541,1.0
2025-07-21,1197533.92,11024042.15,12221576.07,9301539.65,2820036.44,-0.001892,121.215761,5.823888,6.032415,75.852017,0.340414,1.0
2025-07-22,1197533.92,10858915.02,12056448.94,9301539.65,2654909.32,-0.013511,119.564489,5.824864,5.996017,74.38916,0.340736,1.0
2025-07-23,1197533.92,10874869.9,12072403.82,9301539.65,2670864.19,0.001323,119.724038,5.882927,6.027927,75.654388,0.340657,1.0
2025-07-24,1197533.92,10873174.72,12070708.64,9301539.65,2669169.01,-0.00014,119.707086,5.885205,6.042885,76.644294,0.340657,1.0
2025-07-25,1197533.92,10985806.19,12183340.11,9301539.65,2781800.48,0.009331,120.833401,5.91429,6.059838,76.598757,0.340294,1.0
2025-07-28,1197533.92,10945746.68,12143280.6,9301539.65,2741740.97,-0.003288,120.432806,5.912555,6.081901,77.762912,0.339659,1.0
2025-07-29,1197533.92,10689245.67,11886779.59,9301539.65,2485239.96,-0.021123,117.867796,5.894322,6.070932,77.286442,0.308804,1.0
2025-07-30,1021687.44,10937141.11,11958828.55,9414212.19,2444616.38,0.006061,118.588286,5.88564,6.080405,78.453521,0.307136,1.0
2025-07-31,1021687.44,10846947.63,11868635.07,9414212.19,2354422.9,-0.007542,117.686351,5.85981,6.042885,77.731921,0.307301,1.0
2025-08-01,3213304.77,8269902.71,11483207.48,9853344.73,1529862.78,-0.032474,113.832075,5.747375,5.90415,75.969176,0.309375,1.0
2025-08-04,2255451.4,9375105.78,11630557.18,10182559.01,1347998.2,0.012832,115.305572,5.849934,6.031542,78.199943,0.309615,1.0
2025-08-05,1194872.38,10375655.99,11570528.37,10381059.18,1089469.2,-0.005161,114.705284,5.815205,5.983801,77.495984,0.309677,1.0
2025-08-06,1194872.38,10661118.01,11855990.39,10381059.18,1374931.21,0.024671,117.559904,5.867407,6.07168,78.293742,0.309057,1.0
2025-08-07,211179.12,11884214.78,12095393.9,10381059.18,1614334.73,0.020193,119.953939,5.861655,6.095612,78.976407,0.309907,1.0
2025-08-08,211179.12,11947226.85,12158405.97,10381059.18,1677346.8,0.00521,120.58406,5.91516,6.161802,79.942462,0.309629,1.0
2025-08-11,1909812.46,10211884.96,12121697.42,10746395.7,1275301.73,-0.003019,120.216974,5.901485,6.140611,79.585883,0.309606,1.0
2025-08-12,2554716.6,9606953.97,12161670.57,11130252.06,931418.51,0.003298,120.616706,5.974958,6.230359,80.234889,0.308059,1.0
2025-08-13,1516770.52,10564776.1,12081546.62,11401839.32,579707.31,-0.006588,119.815466,5.998834,6.233975,79.929719,0.307348,1.0
2025-08-14,495036.26,11445220.06,11940256.32,11401839.32,438417.01,-0.011695,118.402563,5.999486,6.228366,80.116456,0.306719,1.0
2025-08-15,495036.26,11328086.31,11823122.57,11401839.32,321283.25,-0.00981,117.231226,5.983098,6.19658,79.358388,0.306874,1.0
2025-08-18,495036.26,11344300.84,11839337.1,11401839.32,337497.78,0.001371,117.393371,5.981578,6.193712,79.888078,0.306716,1.0
2025-08-19,495036.26,10910191.36,11405227.62,11401839.32,-96611.69,-0.036667,113.052276,5.943702,6.096111,77.639039,0.309214,1.0
2025-08-20,495036.26,10772020.13,11267056.39,11401839.32,-234782.92,-0.012115,111.670564,5.925253,6.05398,77.365292,0.30854,1.0
2025-08-21,495036.26,10716257.04,11211293.3,11401839.32,-290546.02,-0.004949,111.112933,5.897469,6.021322,77.109779,0.307128,1.0
2025-08-22,1515615.72,10080673.63,11596289.35,11640896.81,-144607.45,0.03434,114.962894,6.003392,6.129642,78.360372,0.30697,1.0
2025-08-25,520189.73,11105011.37,11625201.1,11640896.81,-115695.7,0.002493,115.252011,5.97257,6.109074,78.887535,0.304359,1.0
2025-08-26,1467975.39,10254400.49,11722375.88,11565530.46,56845.43,0.008359,116.223759,6.001764,6.13762,79.707309,0.302587,1.0
2025-08-27,1475915.16,10142413.47,11618328.63,11480206.42,38122.23,-0.008876,115.183286,6.017718,6.14859,79.742979,0.301425,1.0
2025-08-28,478591.69,11342976.34,11821568.03,11480206.42,241361.63,0.017493,117.21568,6.04257,6.193339,79.389118,0.296449,1.0
2025-08-29,1441864.14,10188748.0,11630612.14,11376282.25,154329.91,-0.016153,115.306121,6.00057,6.110072,77.22602,0.297332,1.0
2025-09-02,443982.94,11065120.61,11509103.55,11376282.25,32821.33,-0.010447,114.091036,5.948694,6.050489,75.843043,0.291099,1.0
2025-09-03,443982.94,11134825.64,11578808.58,11376282.25,102526.35,0.006057,114.788086,5.986353,6.105958,76.128516,0.291121,1.0
2025-09-04,443982.94,11309520.99,11753503.93,11376282.25,277221.71,0.015088,116.535039,6.044741,6.170279,76.704421,0.290113,1.0
2025-09-05,1346259.17,10411802.35,11758061.52,11256824.22,401237.33,0.000388,116.580615,6.024338,6.180624,75.24012,0.277697,1.0
2025-09-08,349031.8,11562837.13,11911868.93,11256824.22,555044.74,0.013081,118.118689,6.041594,6.215651,75.736402,0.278212,1.0
