date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return
2026-04-02,9880.25,94978.39,104858.64,-3721.19,8579.82,-0.002941,0.048586,-0.037398,-0.044693,-0.088343
2026-04-06,9880.25,95988.88,105869.13,-3721.19,9590.31,0.009637,0.058691,-0.032848,-0.038945,-0.085063
2026-04-07,9880.25,96673.34,106553.59,-3721.19,10274.77,0.006465,0.065536,-0.032422,-0.038798,-0.085502
2026-04-08,9880.25,102370.41,112250.66,-3721.19,15971.83,0.053467,0.122507,-0.007778,-0.010219,-0.062611
2026-04-09,9880.25,103825.78,113706.03,-3721.19,17427.2,0.012965,0.13706,-0.002054,-0.003524,-0.070158
2026-04-10,20314.14,93651.84,113965.98,-2612.09,16578.06,0.002286,0.13966,-0.002714,-0.002087,-0.076958
2026-04-13,10456.79,105073.41,115530.2,-2612.09,18142.28,0.013725,0.155302,0.007032,0.008234,-0.05076
2026-04-14,10456.79,106821.91,117278.7,-2612.09,19890.78,0.015135,0.172787,0.019302,0.026541,-0.037746
2026-04-15,10456.79,105221.41,115678.2,-2612.09,18290.28,-0.013647,0.156782,0.027345,0.040912,-0.021287
2026-04-16,10456.79,106209.85,116666.64,-2612.09,19278.72,0.008545,0.166666,0.02987,0.045925,-0.010684
2026-04-17,10456.79,109089.22,119546.01,-2612.09,22158.09,0.02468,0.19546,0.042317,0.05961,0.001755
2026-04-20,10456.79,110356.04,120812.83,-2612.09,23424.91,0.010597,0.208128,0.040232,0.056246,0.014569
2026-04-21,10456.79,110896.43,121353.22,-2612.09,23965.3,0.004473,0.213532,0.033422,0.052229,0.012259
2026-04-22,10456.79,114093.41,124550.2,-2612.09,27162.29,0.026344,0.245502,0.043887,0.069833,0.030684
2026-04-23,10456.79,115700.84,126157.63,-2612.09,28769.71,0.012906,0.261576,0.039836,0.063807,0.020068
2026-04-24,19175.2,109773.56,128948.76,-1328.21,30276.95,0.022124,0.289488,0.047894,0.084155,0.044375
2026-04-27,9234.79,118849.89,128084.68,-1328.21,29412.88,-0.006701,0.280847,0.049699,0.084726,0.040318
2026-04-28,20026.88,102864.84,122891.72,566.36,22325.35,-0.040543,0.228917,0.044592,0.073818,0.019819
2026-04-29,8360.98,116325.13,124686.11,566.36,24119.73,0.014601,0.246861,0.04443,0.080383,0.028114
2026-04-30,8360.98,118114.83,126475.81,566.36,25909.44,0.014354,0.264758,0.054822,0.090459,0.039849
2026-05-01,8360.98,119408.39,127769.37,566.36,27203.0,0.010228,0.277694,0.057743,0.100926,0.055656
2026-05-04,8360.98,119387.15,127748.13,566.36,27181.76,-0.000166,0.277481,0.053868,0.098852,0.057912
2026-05-05,8360.98,124299.55,132660.53,566.36,32094.16,0.038454,0.326605,0.062322,0.113109,0.07407
2026-05-06,8360.98,130971.84,139332.82,566.36,38766.44,0.050296,0.393328,0.077088,0.136233,0.094662
2026-05-07,19620.12,114313.4,133933.52,2879.6,31053.91,-0.038751,0.339335,0.073785,0.134878,0.094306
2026-05-08,7384.0,134887.86,142271.86,2879.6,39392.25,0.062257,0.422719,0.082651,0.16148,0.111671
2026-05-11,17866.97,127216.05,145083.02,5018.8,40064.21,0.019759,0.45083,0.085116,0.164844,0.11731
2026-05-12,5858.58,133787.19,139645.77,5018.8,34626.96,-0.037477,0.396458,0.083473,0.154964,0.101056
2026-05-13,5858.58,139231.89,145090.47,5018.8,40071.66,0.038989,0.450905,0.089534,0.167163,0.112671
2026-05-14,5858.58,138355.89,144214.47,5018.8,39195.66,-0.006038,0.442145,0.098136,0.175459,0.126244
2026-05-15,51920.6,87637.18,139557.78,26025.68,13532.09,-0.03229,0.395578,0.084926,0.157724,0.116226
2026-05-18,41378.22,97005.67,138383.89,29095.64,9288.24,-0.008411,0.383839,0.084163,0.152743,0.111868
2026-05-19,17892.29,120980.99,138873.28,29095.64,9777.63,0.003536,0.388733,0.076941,0.14564,0.10416
2026-05-20,5920.33,138180.71,144101.04,29095.64,15005.38,0.037644,0.44101,0.087979,0.164616,0.130344
2026-05-21,5920.33,143179.33,149099.66,29095.64,20004.01,0.034688,0.490997,0.090136,0.166837,0.144849
2026-05-22,5920.33,150041.72,155962.05,29095.64,26866.4,0.046026,0.55962,0.094422,0.171785,0.167084
2026-05-26,5920.33,155165.16,161085.49,29095.64,31989.83,0.032851,0.610855,0.101688,0.19259,0.195163
2026-05-27,14381.33,139083.73,153465.06,25803.15,27661.9,-0.047307,0.534651,0.101497,0.191235,0.185949
2026-05-28,14381.33,143506.58,157887.91,25803.15,32084.75,0.02882,0.578879,0.107573,0.201278,0.209882
2026-05-29,14381.33,155437.35,169818.68,25803.15,44015.52,0.075565,0.698187,0.110333,0.205703,0.247581
2026-06-01,27815.48,150954.27,178769.75,27571.4,51198.34,0.05271,0.787697,0.113356,0.212938,0.291177
2026-06-02,27123.79,155216.22,182340.01,28759.25,53580.74,0.019971,0.8234,0.114868,0.218523,0.301689
2026-06-03,12899.47,165287.14,178186.61,28759.25,49427.34,-0.022778,0.781866,0.107045,0.215339,0.282193
2026-06-04,12899.47,164755.26,177654.73,28759.25,48895.46,-0.002985,0.776547,0.111228,0.209459,0.281147
2026-06-05,12899.47,151680.91,164580.38,28759.25,35821.11,-0.073594,0.645804,0.082548,0.151404,0.197925
2026-06-08,12899.47,153390.36,166289.83,28759.25,37530.56,0.010387,0.662898,0.084999,0.169384,0.218643
2026-06-09,12899.47,147475.51,160374.98,28759.25,31615.71,-0.03557,0.60375,0.081814,0.155928,0.192023
2026-06-10,12899.47,143919.03,156818.5,28759.25,28059.23,-0.022176,0.568185,0.064759,0.132836,0.159866
2026-06-11,12899.47,152618.7,165518.17,28759.25,36758.9,0.055476,0.655182,0.082856,0.171099,0.206177
2026-06-12,12899.47,154169.44,167068.91,28759.25,38309.64,0.009369,0.670689,0.088713,0.177991,0.215505
2026-06-15,24444.39,148535.13,172979.52,29689.41,43290.09,0.035378,0.729795,0.107911,0.214996,0.255577
2026-06-16,10600.94,159871.08,170472.02,29689.41,40782.59,-0.014496,0.70472,0.104014,0.197979,0.235293
