ticker,eligible,entry_filter,stop_loss,take_profit,trailing_stop,max_holding_days,active_return,hold_return,excess,active_dd,hold_dd,active_sharpe,hold_sharpe,total_trades,win_rate,profit_factor,slippage_cost,oos_active_return,oos_hold_return,oos_excess,oos_active_sharpe
TSM,True,above_50ma,0.1,0.15,,30,0.750079619582507,0.5131337536211402,0.2369458659613668,-0.3449203682422119,-0.5646656700453592,0.8066023639182119,0.5722073869622317,21,0.55,2.153512293806211,0.041816086082555645,0.574552751267253,1.5217018377514684,-0.9471490864842154,0.8168681299435432
ASML,True,above_50ma,0.1,0.15,0.1,30,0.556292024407183,0.5504748093872018,0.0058172150199811146,-0.44594351095220613,-0.5686183222811203,0.6386234865718785,0.5639369087729955,22,0.5714285714285714,1.5272025561268399,0.04682430004447914,0.2589720550437318,0.773704922657334,-0.5147328676136023,0.5053019471154884
MU,False,composite,0.075,0.15,0.15,60,0.7253855909143194,0.7804851950066405,-0.055099604092321064,-0.42975988708355223,-0.4962755158841509,0.7158330903919721,0.6725800033433267,18,0.5294117647058824,1.6193581303512,0.03432745571248233,,,,
ORCL,False,ret20_pos,0.1,0.15,,60,1.000449015470621,0.7800200272991749,0.22042898817144607,-0.2875916106417346,-0.4036481032195028,0.9955683376070232,0.7728079800994387,15,0.5714285714285714,2.9973772043466225,0.04212290253808792,,,,
CRWD,True,ret20_pos,0.1,0.15,0.1,30,1.6077136094815265,0.6587590337089018,0.9489545757726248,-0.37524130330488575,-0.6769220151886319,1.0127814853241044,0.5855533672951175,32,0.5483870967741935,2.0791210047974,0.07716228708404405,1.0484037860117552,0.7626558494454572,0.28574793656629804,1.1124523360079075
PANW,False,qqq_above_50ma,0.075,,0.15,60,1.5071944085924525,1.6101756427622398,-0.10298123416978733,-0.33329432409637866,-0.35999425948732816,1.0035789235109762,0.9501322629111782,16,0.4,2.4066570326903323,0.04989123290986171,,,,
JPM,False,qqq_above_50ma,0.1,,0.1,60,0.23108867531886346,0.32225692253698646,-0.091168247218123,-0.27922603051794415,-0.38771581981696385,0.46306122576857883,0.5095143577297314,13,0.6666666666666666,1.9458321480944256,0.024436361643591857,,,,
BAC,True,composite,0.1,0.15,0.1,30,0.0806849185330556,0.02878659515911508,0.051898323373940514,-0.3805560527285429,-0.46642938636649856,0.22872963715535918,0.17270931316156446,20,0.631578947368421,1.2382162807053234,0.03786605815678856,-0.2641339457405517,0.48802712905024204,-0.7521610747907937,-0.6485450244601659
GS,False,composite,0.1,,0.15,60,0.24758171129250073,0.30400316727698895,-0.05642145598448822,-0.2990619944027721,-0.32840124506984664,0.4615678774462575,0.4754577194649045,10,0.4444444444444444,1.4464479338873995,0.01886058131502667,,,,
COIN,True,composite,0.075,,,30,3.8861237072154537,0.06633207948763142,3.819791627727822,-0.4638985511752131,-0.9089789936876204,1.1150556744167186,0.4744503690051909,25,0.3333333333333333,2.726415117487714,0.0756959293234677,-0.5299577946535486,-0.3733134822254204,-0.15664431242812826,-0.4682082390266338
COST,False,ret20_pos,0.075,0.15,0.1,60,1.5808089369969882,1.3068874902496237,0.2739214467473645,-0.19655100560599664,-0.31402429542805316,1.759429401620764,1.2886190783304787,14,0.6923076923076923,9.747985193695246,0.04141340918199245,,,,
