date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return,forecast_vol,exposure_mult
2020-08-03,35692.05,104406.02,140098.07,-26885.72,66983.78,0.027519,0.400981,0.244764,0.562424,0.070156,0.684071,0.8771
2020-08-04,35692.05,105763.34,141455.39,-26885.72,68341.09,0.009688,0.414554,0.249572,0.568224,0.0826,0.682939,0.8786
2020-08-05,35692.05,106606.54,142298.59,-26885.72,69184.3,0.005961,0.422986,0.257333,0.572109,0.090516,0.682945,0.8785
2020-08-06,35692.05,110687.67,146379.72,-26885.72,73265.43,0.02868,0.463797,0.265738,0.592932,0.128024,0.683844,0.8774
2020-08-07,35692.05,107070.51,142762.56,-26885.72,69648.27,-0.024711,0.427626,0.266647,0.574546,0.094551,0.684814,0.8762
2020-08-10,35692.05,105628.45,141320.5,-26885.72,68206.21,-0.010101,0.413205,0.270433,0.567818,0.081287,0.684702,0.8763
2020-08-11,35692.05,99633.52,135325.57,-26885.72,62211.28,-0.042421,0.353256,0.259945,0.538122,0.026018,0.687579,0.8726
2020-08-12,35692.05,107087.46,142779.51,-26885.72,69665.22,0.055082,0.427795,0.277513,0.576808,0.094142,0.691498,0.8677
2020-08-13,143421.45,0.0,143421.45,43421.43,0.0,0.004496,0.434215,0.275203,0.580404,0.101157,0.691484,0.8677
2020-08-14,32236.86,111073.62,143310.48,43421.43,-110.98,-0.000774,0.433105,0.275241,0.578548,0.098408,0.691493,0.8677
2020-08-17,32236.86,110900.6,143137.46,43421.43,-283.99,-0.001207,0.431375,0.279292,0.596876,0.131034,0.691506,0.8677
2020-08-18,32236.86,111082.71,143319.57,43421.43,-101.88,0.001272,0.433196,0.282056,0.612246,0.161348,0.691286,0.8679
2020-08-19,32236.86,110950.65,143187.51,43421.43,-233.94,-0.000921,0.431875,0.276717,0.6014,0.140583,0.690915,0.8684
2020-08-20,32236.86,111127.92,143364.78,43421.43,-56.67,0.001238,0.433648,0.280692,0.623615,0.183354,0.689572,0.8701
2020-08-21,32236.86,111345.05,143581.91,43421.43,160.46,0.001515,0.435819,0.285235,0.634867,0.206068,0.684704,0.8763
2020-08-24,32236.86,111544.54,143781.4,43421.43,359.95,0.001389,0.437814,0.298259,0.645075,0.226663,0.6824,0.8792
2020-08-25,32236.86,111886.37,144123.23,43421.43,701.78,0.002377,0.441232,0.302802,0.658009,0.253156,0.682378,0.8793
2020-08-26,32236.86,112970.82,145207.68,43421.43,1786.22,0.007524,0.452077,0.315863,0.693389,0.327628,0.6824,0.8792
2020-08-27,32236.86,112792.43,145029.29,43421.43,1607.84,-0.001229,0.450293,0.318741,0.688111,0.316399,0.682383,0.8793
2020-08-28,32236.86,113097.45,145334.31,43421.43,1912.86,0.002103,0.453343,0.327259,0.696695,0.33538,0.681261,0.8807
2020-08-31,32236.86,113687.13,145923.99,43421.43,2502.54,0.004057,0.45924,0.322451,0.710326,0.364367,0.681253,0.8807
2020-09-01,73000.98,74313.59,147314.57,28890.44,18424.11,0.009529,0.473146,0.334906,0.739558,0.430989,0.680761,0.8814
2020-09-02,73000.98,76410.38,149411.36,28890.44,20520.9,0.014233,0.494114,0.354214,0.75603,0.469174,0.680922,0.8812
2020-09-03,73000.98,64677.08,137678.06,28890.44,8787.6,-0.07853,0.376781,0.30761,0.667,0.255099,0.690748,0.8686
2020-09-04,18276.98,116680.5,134957.48,28890.44,6067.02,-0.01976,0.349575,0.296934,0.644784,0.206861,0.69053,0.8689
2020-09-08,18276.98,115682.12,133959.1,28890.44,5068.64,-0.007398,0.339591,0.261498,0.56573,0.049032,0.67671,0.8866
2020-09-09,18276.98,114855.42,133132.4,28890.44,4241.94,-0.006171,0.331324,0.286409,0.611724,0.130306,0.670154,0.8953
2020-09-10,18276.98,114779.41,133056.39,28890.44,4165.93,-0.000571,0.330564,0.264072,0.579592,0.070326,0.629492,0.9531
2020-09-11,18276.98,114863.9,133140.88,28890.44,4250.42,0.000635,0.331409,0.264716,0.56863,0.049064,0.571172,1.0
2020-09-14,18276.98,114455.9,132732.88,28890.44,3842.42,-0.003064,0.327329,0.281374,0.595948,0.097901,0.507292,1.0
2020-09-15,18276.98,114287.3,132564.28,28890.44,3673.83,-0.00127,0.325643,0.287848,0.618568,0.140425,0.478615,1.0
2020-09-16,18276.98,114216.74,132493.72,28890.44,3603.26,-0.000532,0.324937,0.282737,0.592758,0.090097,0.474935,1.0
2020-09-17,18276.98,114298.38,132575.36,28890.44,3684.91,0.000616,0.325754,0.271455,0.567876,0.044285,0.474745,1.0
2020-09-18,18276.98,114707.2,132984.18,28890.44,4093.72,0.003084,0.329842,0.256817,0.547865,0.007918,0.466994,1.0
2020-09-21,18276.98,114453.33,132730.31,28890.44,3839.85,-0.001909,0.327303,0.242829,0.551577,0.018532,0.467009,1.0
